Province,省份_规范,年份,人群类别,人口原始值,人口单位,人口数_人,是否长表结构,人口匹配方式,人口匹配置信度,是否建议人工复核,复核原因
Shanghai,上海,2017,总人口/未分层,2466,万人（根据中国省级人口量级推断）,24660000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2017,总人口/未分层,8423,万人（根据中国省级人口量级推断）,84230000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2017,总人口/未分层,6170,万人（根据中国省级人口量级推断）,61700000,True,原始省份-年份记录,高,False,
Anhui,安徽,2017,总人口/未分层,6057,万人（根据中国省级人口量级推断）,60570000,True,原始省份-年份记录,高,False,
Fujian,福建,2017,总人口/未分层,4065,万人（根据中国省级人口量级推断）,40650000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2017,总人口/未分层,4511,万人（根据中国省级人口量级推断）,45110000,True,原始省份-年份记录,高,False,
Shandong,山东,2017,总人口/未分层,10033,万人（根据中国省级人口量级推断）,100330000,True,原始省份-年份记录,高,False,
Henan,河南,2017,总人口/未分层,9829,万人（根据中国省级人口量级推断）,98290000,True,原始省份-年份记录,高,False,
Hubei,湖北,2017,总人口/未分层,5904,万人（根据中国省级人口量级推断）,59040000,True,原始省份-年份记录,高,False,
Hunan,湖南,2017,总人口/未分层,6633,万人（根据中国省级人口量级推断）,66330000,True,原始省份-年份记录,高,False,
Guangdong,广东,2017,总人口/未分层,12141,万人（根据中国省级人口量级推断）,121410000,True,原始省份-年份记录,高,False,
Guangxi,广西,2017,总人口/未分层,4907,万人（根据中国省级人口量级推断）,49070000,True,原始省份-年份记录,高,False,
Hainan,海南,2017,总人口/未分层,972,万人（根据中国省级人口量级推断）,9720000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2017,总人口/未分层,3144,万人（根据中国省级人口量级推断）,31440000,True,原始省份-年份记录,高,False,
Sichuan,四川,2017,总人口/未分层,8289,万人（根据中国省级人口量级推断）,82890000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2017,总人口/未分层,3803,万人（根据中国省级人口量级推断）,38030000,True,原始省份-年份记录,高,False,
Yunnan,云南,2017,总人口/未分层,4693,万人（根据中国省级人口量级推断）,46930000,True,原始省份-年份记录,高,False,
Tibet,西藏,2017,总人口/未分层,349,万人（根据中国省级人口量级推断）,3490000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2017,总人口/未分层,3904,万人（根据中国省级人口量级推断）,39040000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2017,总人口/未分层,2522,万人（根据中国省级人口量级推断）,25220000,True,原始省份-年份记录,高,False,
Qinghai,青海,2017,总人口/未分层,586,万人（根据中国省级人口量级推断）,5860000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2017,总人口/未分层,705,万人（根据中国省级人口量级推断）,7050000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2017,总人口/未分层,2480,万人（根据中国省级人口量级推断）,24800000,True,原始省份-年份记录,高,False,
Beijing,北京,2016,总人口/未分层,2195,万人（根据中国省级人口量级推断）,21950000,True,原始省份-年份记录,高,False,
Tianjin,天津,2016,总人口/未分层,1443,万人（根据中国省级人口量级推断）,14430000,True,原始省份-年份记录,高,False,
Hebei,河北,2016,总人口/未分层,7375,万人（根据中国省级人口量级推断）,73750000,True,原始省份-年份记录,高,False,
Shanxi,山西,2016,总人口/未分层,3514,万人（根据中国省级人口量级推断）,35140000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2016,总人口/未分层,2436,万人（根据中国省级人口量级推断）,24360000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2016,总人口/未分层,4327,万人（根据中国省级人口量级推断）,43270000,True,原始省份-年份记录,高,False,
Jilin,吉林,2016,总人口/未分层,2567,万人（根据中国省级人口量级推断）,25670000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2016,总人口/未分层,3463,万人（根据中国省级人口量级推断）,34630000,True,原始省份-年份记录,高,False,
Shanghai,上海,2016,总人口/未分层,2467,万人（根据中国省级人口量级推断）,24670000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2016,总人口/未分层,8381,万人（根据中国省级人口量级推断）,83810000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2016,总人口/未分层,6072,万人（根据中国省级人口量级推断）,60720000,True,原始省份-年份记录,高,False,
Anhui,安徽,2016,总人口/未分层,6033,万人（根据中国省级人口量级推断）,60330000,True,原始省份-年份记录,高,False,
Fujian,福建,2016,总人口/未分层,4016,万人（根据中国省级人口量级推断）,40160000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2016,总人口/未分层,4496,万人（根据中国省级人口量级推断）,44960000,True,原始省份-年份记录,高,False,
Shandong,山东,2016,总人口/未分层,9973,万人（根据中国省级人口量级推断）,99730000,True,原始省份-年份记录,高,False,
Henan,河南,2016,总人口/未分层,9778,万人（根据中国省级人口量级推断）,97780000,True,原始省份-年份记录,高,False,
Hubei,湖北,2016,总人口/未分层,5885,万人（根据中国省级人口量级推断）,58850000,True,原始省份-年份记录,高,False,
Hunan,湖南,2016,总人口/未分层,6625,万人（根据中国省级人口量级推断）,66250000,True,原始省份-年份记录,高,False,
Guangdong,广东,2016,总人口/未分层,11908,万人（根据中国省级人口量级推断）,119080000,True,原始省份-年份记录,高,False,
Guangxi,广西,2016,总人口/未分层,4857,万人（根据中国省级人口量级推断）,48570000,True,原始省份-年份记录,高,False,
Hainan,海南,2016,总人口/未分层,957,万人（根据中国省级人口量级推断）,9570000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2016,总人口/未分层,3110,万人（根据中国省级人口量级推断）,31100000,True,原始省份-年份记录,高,False,
Sichuan,四川,2016,总人口/未分层,8251,万人（根据中国省级人口量级推断）,82510000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2016,总人口/未分层,3758,万人（根据中国省级人口量级推断）,37580000,True,原始省份-年份记录,高,False,
Yunnan,云南,2016,总人口/未分层,4677,万人（根据中国省级人口量级推断）,46770000,True,原始省份-年份记录,高,False,
Tibet,西藏,2016,总人口/未分层,340,万人（根据中国省级人口量级推断）,3400000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2016,总人口/未分层,3874,万人（根据中国省级人口量级推断）,38740000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2016,总人口/未分层,2520,万人（根据中国省级人口量级推断）,25200000,True,原始省份-年份记录,高,False,
Qinghai,青海,2016,总人口/未分层,582,万人（根据中国省级人口量级推断）,5820000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2016,总人口/未分层,695,万人（根据中国省级人口量级推断）,6950000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2016,总人口/未分层,2428,万人（根据中国省级人口量级推断）,24280000,True,原始省份-年份记录,高,False,
Beijing,北京,2015,总人口/未分层,2188,万人（根据中国省级人口量级推断）,21880000,True,原始省份-年份记录,高,False,
Tianjin,天津,2015,总人口/未分层,1439,万人（根据中国省级人口量级推断）,14390000,True,原始省份-年份记录,高,False,
Hebei,河北,2015,总人口/未分层,7345,万人（根据中国省级人口量级推断）,73450000,True,原始省份-年份记录,高,False,
Shanxi,山西,2015,总人口/未分层,3519,万人（根据中国省级人口量级推断）,35190000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2015,总人口/未分层,2440,万人（根据中国省级人口量级推断）,24400000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2015,总人口/未分层,4338,万人（根据中国省级人口量级推断）,43380000,True,原始省份-年份记录,高,False,
Jilin,吉林,2015,总人口/未分层,2613,万人（根据中国省级人口量级推断）,26130000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2015,总人口/未分层,3529,万人（根据中国省级人口量级推断）,35290000,True,原始省份-年份记录,高,False,
Shanghai,上海,2015,总人口/未分层,2458,万人（根据中国省级人口量级推断）,24580000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2015,总人口/未分层,8315,万人（根据中国省级人口量级推断）,83150000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2015,总人口/未分层,5985,万人（根据中国省级人口量级推断）,59850000,True,原始省份-年份记录,高,False,
Anhui,安徽,2015,总人口/未分层,6011,万人（根据中国省级人口量级推断）,60110000,True,原始省份-年份记录,高,False,
Fujian,福建,2015,总人口/未分层,3984,万人（根据中国省级人口量级推断）,39840000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2015,总人口/未分层,4485,万人（根据中国省级人口量级推断）,44850000,True,原始省份-年份记录,高,False,
Shandong,山东,2015,总人口/未分层,9866,万人（根据中国省级人口量级推断）,98660000,True,原始省份-年份记录,高,False,
Henan,河南,2015,总人口/未分层,9701,万人（根据中国省级人口量级推断）,97010000,True,原始省份-年份记录,高,False,
Hubei,湖北,2015,总人口/未分层,5850,万人（根据中国省级人口量级推断）,58500000,True,原始省份-年份记录,高,False,
Hunan,湖南,2015,总人口/未分层,6615,万人（根据中国省级人口量级推断）,66150000,True,原始省份-年份记录,高,False,
Guangdong,广东,2015,总人口/未分层,11678,万人（根据中国省级人口量级推断）,116780000,True,原始省份-年份记录,高,False,
Guangxi,广西,2015,总人口/未分层,4811,万人（根据中国省级人口量级推断）,48110000,True,原始省份-年份记录,高,False,
Hainan,海南,2015,总人口/未分层,945,万人（根据中国省级人口量级推断）,9450000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2015,总人口/未分层,3070,万人（根据中国省级人口量级推断）,30700000,True,原始省份-年份记录,高,False,
Sichuan,四川,2015,总人口/未分层,8196,万人（根据中国省级人口量级推断）,81960000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2015,总人口/未分层,3708,万人（根据中国省级人口量级推断）,37080000,True,原始省份-年份记录,高,False,
Yunnan,云南,2015,总人口/未分层,4663,万人（根据中国省级人口量级推断）,46630000,True,原始省份-年份记录,高,False,
Tibet,西藏,2015,总人口/未分层,330,万人（根据中国省级人口量级推断）,3300000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2015,总人口/未分层,3846,万人（根据中国省级人口量级推断）,38460000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2015,总人口/未分层,2523,万人（根据中国省级人口量级推断）,25230000,True,原始省份-年份记录,高,False,
Qinghai,青海,2015,总人口/未分层,577,万人（根据中国省级人口量级推断）,5770000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2015,总人口/未分层,684,万人（根据中国省级人口量级推断）,6840000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2015,总人口/未分层,2385,万人（根据中国省级人口量级推断）,23850000,True,原始省份-年份记录,高,False,
