省份,省份_规范,年份,人群类别,消费量单位,平均消费量_g_day,平均消费量_kg_day,P95或高消费量_g_day,P95或高消费量_kg_day,SampleCount,Contaminated sample,Mean_concentration_MP(ug/kg),BodyWeight (kg),消费量匹配方式,消费量匹配置信度,是否建议人工复核,复核原因
浙江省,浙江,2017,总人群/未分层,g/day,5.48,0.0054800000000000005,,,170,6.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2018,总人群/未分层,g/day,5.48,0.0054800000000000005,,,103,10.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2019,总人群/未分层,g/day,5.48,0.0054800000000000005,,,658,2.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2020,总人群/未分层,g/day,5.48,0.0054800000000000005,,,790,16.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2021,总人群/未分层,g/day,5.48,0.0054800000000000005,,,930,24.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2022,总人群/未分层,g/day,5.48,0.0054800000000000005,,,43,34.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
海南省,海南,2015,总人群/未分层,g/day,1.83,0.00183,,,37,,202.233333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
海南省,海南,2018,总人群/未分层,g/day,1.83,0.00183,,,58,,202.233333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
海南省,海南,2020,总人群/未分层,g/day,1.83,0.00183,,,44,2.0,202.233333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
海南省,海南,2021,总人群/未分层,g/day,1.83,0.00183,,,109,,202.233333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
海南省,海南,2022,总人群/未分层,g/day,1.83,0.00183,,,80,1.0,202.233333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2015,总人群/未分层,g/day,3.91,0.00391,,,70,6.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2016,总人群/未分层,g/day,3.91,0.00391,,,61,4.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2017,总人群/未分层,g/day,3.91,0.00391,,,395,2.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2018,总人群/未分层,g/day,3.91,0.00391,,,570,5.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2019,总人群/未分层,g/day,3.91,0.00391,,,325,1.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2020,总人群/未分层,g/day,3.91,0.00391,,,9,10.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2021,总人群/未分层,g/day,3.91,0.00391,,,32,9.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖北省,湖北,2022,总人群/未分层,g/day,3.91,0.00391,,,42,9.0,182.791666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2015,总人群/未分层,g/day,2.13,0.00213,,,24,1.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2016,总人群/未分层,g/day,2.13,0.00213,,,54,1.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2017,总人群/未分层,g/day,2.13,0.00213,,,299,3.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2018,总人群/未分层,g/day,2.13,0.00213,,,303,1.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2019,总人群/未分层,g/day,2.13,0.00213,,,405,,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2020,总人群/未分层,g/day,2.13,0.00213,,,4,14.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2021,总人群/未分层,g/day,2.13,0.00213,,,10,12.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
湖南省,湖南,2022,总人群/未分层,g/day,2.13,0.00213,,,25,12.0,128.026818181818,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2015,总人群/未分层,g/day,0.02,2e-05,,,33,1.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2016,总人群/未分层,g/day,0.02,2e-05,,,32,,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2017,总人群/未分层,g/day,0.02,2e-05,,,91,1.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2018,总人群/未分层,g/day,0.02,2e-05,,,83,4.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2019,总人群/未分层,g/day,0.02,2e-05,,,63,,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2020,总人群/未分层,g/day,0.02,2e-05,,,23,2.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2021,总人群/未分层,g/day,0.02,2e-05,,,55,4.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
甘肃省,甘肃,2022,总人群/未分层,g/day,0.02,2e-05,,,135,1.0,55.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2015,总人群/未分层,g/day,3.43,0.0034300000000000003,,,136,,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2016,总人群/未分层,g/day,3.43,0.0034300000000000003,,,128,7.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2017,总人群/未分层,g/day,3.43,0.0034300000000000003,,,691,2.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2018,总人群/未分层,g/day,3.43,0.0034300000000000003,,,494,1.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2019,总人群/未分层,g/day,3.43,0.0034300000000000003,,,775,7.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2020,总人群/未分层,g/day,3.43,0.0034300000000000003,,,14,20.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2021,总人群/未分层,g/day,3.43,0.0034300000000000003,,,35,14.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
福建省,福建,2022,总人群/未分层,g/day,3.43,0.0034300000000000003,,,19,14.0,64.8453333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
西藏自治区,西藏,2015,总人群/未分层,g/day,0.23,0.00023,,,49,,,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
西藏自治区,西藏,2018,总人群/未分层,g/day,0.23,0.00023,,,8,,,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
西藏自治区,西藏,2020,总人群/未分层,g/day,0.23,0.00023,,,43,,,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
西藏自治区,西藏,2021,总人群/未分层,g/day,0.23,0.00023,,,23,,,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
西藏自治区,西藏,2022,总人群/未分层,g/day,0.23,0.00023,,,58,1.0,,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2015,总人群/未分层,g/day,1.21,0.00121,,,227,2.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2016,总人群/未分层,g/day,1.21,0.00121,,,261,2.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2017,总人群/未分层,g/day,1.21,0.00121,,,508,,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2018,总人群/未分层,g/day,1.21,0.00121,,,788,2.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2019,总人群/未分层,g/day,1.21,0.00121,,,13,5.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2020,总人群/未分层,g/day,1.21,0.00121,,,69,15.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2021,总人群/未分层,g/day,1.21,0.00121,,,66,31.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
贵州省,贵州,2022,总人群/未分层,g/day,1.21,0.00121,,,87,40.0,169.563235294118,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2015,总人群/未分层,g/day,5.29,0.00529,,,83,1.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2016,总人群/未分层,g/day,5.29,0.00529,,,238,6.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2017,总人群/未分层,g/day,5.29,0.00529,,,316,2.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2018,总人群/未分层,g/day,5.29,0.00529,,,574,3.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2019,总人群/未分层,g/day,5.29,0.00529,,,70,1.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2020,总人群/未分层,g/day,5.29,0.00529,,,61,7.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2021,总人群/未分层,g/day,5.29,0.00529,,,175,9.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
辽宁省,辽宁,2022,总人群/未分层,g/day,5.29,0.00529,,,404,5.0,101.7,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2015,总人群/未分层,g/day,1.25,0.00125,,,699,3.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2016,总人群/未分层,g/day,1.25,0.00125,,,634,4.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2017,总人群/未分层,g/day,1.25,0.00125,,,772,1.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2018,总人群/未分层,g/day,1.25,0.00125,,,749,2.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2019,总人群/未分层,g/day,1.25,0.00125,,,3,3.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2020,总人群/未分层,g/day,1.25,0.00125,,,24,11.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2021,总人群/未分层,g/day,1.25,0.00125,,,37,41.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
重庆市,重庆,2022,总人群/未分层,g/day,1.25,0.00125,,,32,27.0,157.548913043478,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2015,总人群/未分层,g/day,0.74,0.00074,,,68,,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2016,总人群/未分层,g/day,0.74,0.00074,,,281,,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2017,总人群/未分层,g/day,0.74,0.00074,,,317,,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2018,总人群/未分层,g/day,0.74,0.00074,,,309,,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2019,总人群/未分层,g/day,0.74,0.00074,,,2,1.0,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2020,总人群/未分层,g/day,0.74,0.00074,,,2,8.0,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2021,总人群/未分层,g/day,0.74,0.00074,,,21,5.0,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
陕西省,陕西,2022,总人群/未分层,g/day,0.74,0.00074,,,11,5.0,145.533333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2015,总人群/未分层,g/day,0.36,0.00035999999999999997,,,54,,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2016,总人群/未分层,g/day,0.36,0.00035999999999999997,,,60,,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2017,总人群/未分层,g/day,0.36,0.00035999999999999997,,,65,1.0,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2018,总人群/未分层,g/day,0.36,0.00035999999999999997,,,90,,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2019,总人群/未分层,g/day,0.36,0.00035999999999999997,,,13,,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2020,总人群/未分层,g/day,0.36,0.00035999999999999997,,,43,1.0,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2021,总人群/未分层,g/day,0.36,0.00035999999999999997,,,21,1.0,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
青海省,青海,2022,总人群/未分层,g/day,0.36,0.00035999999999999997,,,108,1.0,72.2666666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2015,总人群/未分层,g/day,1.33,0.00133,,,126,1.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2016,总人群/未分层,g/day,1.33,0.00133,,,394,2.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2017,总人群/未分层,g/day,1.33,0.00133,,,464,1.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2018,总人群/未分层,g/day,1.33,0.00133,,,296,,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2019,总人群/未分层,g/day,1.33,0.00133,,,178,,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2020,总人群/未分层,g/day,1.33,0.00133,,,481,12.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2021,总人群/未分层,g/day,1.33,0.00133,,,537,14.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
黑龙江省,黑龙江,2022,总人群/未分层,g/day,1.33,0.00133,,,372,4.0,100.06,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
