新一级类,新二级类,新三级类,记录数,原始产品分类数,示例原始产品分类,示例产品名称,建议复核数
茶叶及相关制品,代用茶,按原始茶叶细类,119,1,茶叶及相关制品-->代用茶,全株茶（黑苦荞茶）；花茶；特级花茶；苦荞香茶；苦荞茶；圆米苦荞茶；贡菊(代用茶)；高寒黑苦荞茶(全胚态),0
茶叶及相关制品,茶制品,按原始茶叶细类,1,1,茶叶及相关制品-->茶制品,茉莉特花（炒青型茉莉花茶）,0
蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,4398,19,调味品-->香辛料调味品；蔬菜及其制品-->辣椒；蔬菜及其制品-->番茄；食品添加剂-->食品添加剂；调味品-->复合调味料；薯类及膨化食品-->膨化食品；蔬菜及其制品-->茄子；水果及其制品-->蜜饯,干辣椒；细辣椒面；新一代辣椒面；二荆条辣椒面；辣椒面（香辣）；新一代干辣椒段；二荆条辣椒；小米椒,0
蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,3252,15,蔬菜及其制品-->韭菜；蔬菜及其制品-->芹菜；豆及豆制品-->发酵豆制品；蔬菜及其制品-->菠菜；蔬菜及其制品-->白菜；蔬菜及其制品-->油麦菜；蔬菜及其制品-->油菜；粮食及其制品-->其他小麦粉制品,韭菜；大韭菜；小韭菜；芹菜；白菜腐乳；菠菜；大白菜；油麦菜,0
蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,3151,17,蔬菜及其制品-->姜；蔬菜及其制品-->土豆；调味品-->复合调味料；蔬菜及其制品-->莲藕；淀粉及淀粉制品-->淀粉制品；蔬菜及其制品-->山药；蔬菜及其制品-->芦笋；薯类及膨化食品-->膨化食品,老姜；仔姜；生姜；黄姜；泥姜；沙姜；姜；小黄姜,0
蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,2566,4,蔬菜及其制品-->酱腌菜；蔬菜及其制品-->食用菌制品；蔬菜及其制品-->干燥蔬菜；调味品-->复合调味料,叶孃孃麻辣萝卜干（四川省泸州叙永特产农家脆甜麻辣萝卜干开味下饭菜咸菜两样包邮）；泡海椒；麻竹笋；隆城小厨鱼酸菜；泡萝卜（自制）；自制泡萝卜；大头冲菜（腌渍蔬菜）；四川淡口菜（腌渍蔬菜）,0
蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜,1550,4,蔬菜及其制品-->干燥蔬菜；蔬菜及其制品-->食用菌制品；罐头食品-->蔬菜罐头；豆及豆制品-->非发酵豆制品,烟笋（蔬菜干制品）；出口椒（干辣椒）；干山药；干山药片；干笋子；干笋子（蔬菜干制品）；电烤笋；云南小竹笋,0
蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,695,8,蔬菜及其制品-->豇豆；豆及豆制品-->豆类；罐头食品-->蔬菜罐头；蔬菜及其制品-->豌豆；蔬菜及其制品-->芸豆；调味品-->复合调味料；蔬菜及其制品-->扁豆；罐头食品-->肉类罐头,本地豇豆；豇豆；无筋豆(豇豆)；干豇豆；耙豌豆包(蔬菜类罐头)；无筋豆；通江嫩豇豆；食荚豌豆,0
蔬菜及蔬菜制品,食用菌,食用菌及其制品,578,7,调味品-->香辛料调味品；蔬菜及其制品-->食用菌制品；蔬菜及其制品-->鲜食用菌；速冻面米与调制食品-->速冻面米食品；调味品-->复合调味料；罐头食品-->蔬菜罐头；蔬菜及其制品-->冷冻蔬菜,臻鲜辣椒面(即食性固态复合调味料)(经电离辐射灭菌)；干羊肚菌；古田香菇；单片黑木耳；散茶树菇；干茶树菇；干香菇；银耳,0
蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,545,1,餐饮-->蔬菜,自制泡菜；泡菜；泡萝卜（酱腌菜）；泡豇豆(酱腌菜)；泡莲白（酱腌菜）；酱腌菜（大头菜）；萝卜干；泡儿菜（酱腌菜）,0
蔬菜及蔬菜制品,鲜食蔬菜,芽苗类蔬菜,417,1,蔬菜及其制品-->豆芽,绿豆芽；黄豆芽；豆芽；短豆芽；豆芽（黄豆芽）；豆芽（绿豆芽）；大黄豆芽；小黄豆芽,0
蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,338,10,蔬菜及其制品-->黄瓜；焙烤食品-->饼干；肉及肉制品-->牛肉；蔬菜及其制品-->苦瓜；蔬菜及其制品-->丝瓜；薯类及膨化食品-->膨化食品；蛋及蛋制品-->鲜蛋；蔬菜及其制品-->南瓜,黄瓜；素食黄瓜清爽咸味饼干（普通型韧性饼干）；长菜黄瓜；青黄瓜；本地黄瓜；生鲜牛小黄瓜条肉；黄瓜（本地黄瓜）；黄瓜(本地黄瓜),0
蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类（餐饮场景）,186,1,餐饮-->蔬菜,泡姜；泡蒜瓣；泡萝卜；自制泡萝卜；泡萝卜丝；泡萝卜（自制）；爽口泡萝卜；泡萝卜(自制),0
蔬菜及蔬菜制品,鲜食蔬菜,蔬菜（餐饮场景）,105,1,餐饮-->蔬菜,自制泡莲花白；泡海椒；泡莲花白(餐饮自制)；泡莲白；泡莲白(自制)；泡儿菜；泡莲花白；自制泡莲白,105
蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,46,1,餐饮-->蔬菜,泡青菜；泡白菜；泡青菜(自制)；泡莲花白菜；泡紫甘蓝菜；菜心；泡青菜（自制）；泡包菜,0
蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜（餐饮场景）,32,1,餐饮-->蔬菜,泡豇豆；干豇豆；泡豇豆(自制)；泡豇豆（自制）；自制泡豇豆,0
蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜（餐饮场景）,29,1,餐饮-->蔬菜,泡辣椒；泡辣椒(自制)；泡辣椒（餐饮自制）；泡辣椒（自制）；泡红辣椒(自制),0
蔬菜及蔬菜制品,鲜食蔬菜,其他类蔬菜,20,1,蔬菜及其制品-->其他类蔬菜,冬筍（尖、片、丝）；菜薹；笋子；黄秧白；绿芽；三萘；芽菜；精品箭笋片,20
蔬菜及蔬菜制品,鲜食蔬菜,芸豆,14,1,蔬菜及其制品-->芸豆,豆类(芸豆)；豆类（小白芸豆）；无筋豆；小芸豆；大芸豆；白芸豆,14
蔬菜及蔬菜制品,食用菌,食用菌及其制品（餐饮场景）,12,1,餐饮-->蔬菜,干木耳；干香菇；干银耳；鹿茸菌,0
蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜（餐饮场景）,11,1,餐饮-->蔬菜,干木耳（干制食用菌）；细木耳（干制食用菌）；大木耳（干制食用菌）；干制黄瓜条；干制黄花；干制竹笋（蔬菜干制品）,0
蔬菜及蔬菜制品,鲜食蔬菜,其他类,9,1,蔬菜及其制品-->其他类,水煮罗汉笋；珍笋；箭笋；野生绿笋（清水笋）；筒笋；优质玉兰笋；笋尖；黄金笋尖,9
蔬菜及蔬菜制品,鲜食蔬菜,膨化食品,9,1,薯类及膨化食品-->膨化食品,蔬菜春卷（麻辣味）；蔬菜卷(膨化食品(油炸类))；蔬菜卷；浪味仙创意花式薯卷（田园蔬菜味）；蔬菜卷(膨化食品)；波浪蔬菜卷（九蔬味）【膨化食品】；蔬菜卷(直接挤压型膨化食品),9
蔬菜及蔬菜制品,鲜食蔬菜,花菜,7,1,蔬菜及其制品-->花菜,有机花菜；花椰菜,7
蔬菜及蔬菜制品,鲜食蔬菜,速冻面米食品,7,1,速冻面米与调制食品-->速冻面米食品,湾仔码头玉米蔬菜猪肉水饺；玉米蔬菜猪肉水饺；手工花边玉米蔬菜猪肉水饺；玉米蔬菜猪肉花边水饺；蔬菜包；蔬菜卷；玉米蔬菜猪肉水饺（速冻食品）,7
蔬菜及蔬菜制品,鲜食蔬菜,糕点,6,1,焙烤食品-->糕点,蔬菜春卷（麻辣味）；蔬菜春卷（鸡肉味）；木糖醇蔬菜味薄饼；广式草莓味月饼（蔬菜类）；无加蔗糖多口味蔬菜沙琪玛,6
蔬菜及蔬菜制品,鲜食蔬菜,蔬菜罐头,6,1,罐头食品-->蔬菜罐头,笋丝；鲜苦笋（罐头）；苦笋罐头；芽菜扣肉,6
蔬菜及蔬菜制品,鲜食蔬菜,冷冻蔬菜,4,1,蔬菜及其制品-->冷冻蔬菜,速冻甜青豆粒；冷冻青豆；速冻青豆仁；速冻青豆粒,4
蔬菜及蔬菜制品,鲜食蔬菜,饼干,4,1,焙烤食品-->饼干,多吃点香脆蔬菜饼；素食蔬菜咸味饼干；5种蔬菜饼；味觉蔬菜薄饼,4
蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜（餐饮场景）,3,1,餐饮-->蔬菜,泡黄瓜；泡黄瓜(餐饮自制),0
蔬菜及蔬菜制品,鲜食蔬菜,其他小麦粉制品,1,1,粮食及其制品-->其他小麦粉制品,蔬菜水饺皮,1
蔬菜及蔬菜制品,鲜食蔬菜,非发酵豆制品,1,1,豆及豆制品-->非发酵豆制品,蔬菜汁豆干(五香味),1
薯类及膨化食品,膨化食品,按原始薯类/膨化细类,556,1,薯类及膨化食品-->膨化食品,龙虾拉面（油炸型膨化食品）；牛羊配膨化食品；印第安奶油味爆米花；皇家礼爆爆米花（奶油味）；艾比利薯片(膨化食品)；小米锅巴（牛肉味）；台湾风味黑米酥（挤压型膨化食品）；美派农场爆米花,0
薯类及膨化食品,薯类食品,按原始薯类/膨化细类,47,1,薯类及膨化食品-->薯类食品,苕丝糖（薯类食品）；苕絲糖（薯类食品）；魔芋素肚片；魔芋精粉；魔芋粉；芋滋源妖肉(魔芋食材)；魔芋爽麻辣素毛肚；雪魔芋(薯类食品),0
蛋及蛋制品,鲜蛋,按原始蛋类细类,2142,1,蛋及蛋制品-->鲜蛋,营养谷物蛋(鲜鸡蛋)；百岭咕屋五谷营养蛋（鸡蛋）；牧春山粮心鲜鸡蛋30枚；安心保洁蛋(鲜鸡蛋)；珍玮精品谷物蛋（鸡蛋）；谷物鲜鸡蛋；鲜鸡蛋；五谷蛋,0
蛋及蛋制品,再制蛋,按原始蛋类细类,434,1,蛋及蛋制品-->再制蛋,皮蛋；咸鸭蛋；盐焗味爆汁鹌鹑蛋；五香油沙盐蛋；杜智华鹌鹑皮蛋；包蛋；包盐蛋；鹌鹑蛋,0
蛋及蛋制品,其他蛋制品,按原始蛋类细类,15,1,蛋及蛋制品-->其他蛋制品,松花蛋肠；全蛋粉；全蛋鸡蛋干（玉米味）；鸡蛋干；沈师傅鸡蛋干（酱香味）；全蛋鸡蛋干（麻辣味）；全蛋鸡蛋干（五香味）；沈师傅鸡蛋干,0
蜂产品,蜂蜜,按原始蜂产品细类,286,1,蜂产品-->蜂蜜,蜂蜜花生糖；洋槐蜂蜜；土蜂蜜；紫云英蜂蜜；蜂蜜；大山老槽蜂蜜(平武蜂蜜)；龙苍沟土蜂蜜；巴山春蜜,0
蜂产品,其他蜂产品,按原始蜂产品细类,8,1,蜂产品-->其他蜂产品,蜂王浆蜂蜜膏(蜂蜜制品)；秋梨蜜膏；蜜楂动力(蜂产品制品)；蜂巢蜜（蜂产品制品）；蜜楂动力（蜂产品制品）；柠檬蜂蜜汁·蜂蜜制品；巴马蜂巢蜂产品制品,0
蜂产品,蜂花粉,按原始蜂产品细类,3,1,蜂产品-->蜂花粉,蜂花粉；莲花蜂花粉,0
蜂产品,蜂王浆,按原始蜂产品细类,2,1,蜂产品-->蜂王浆,蜂王浆,0
调味品,复合调味料,按原始调味品细类,1740,1,调味品-->复合调味料,牛油火锅底料；红油辣子（复合调味料）；香辣双椒酱（复合调味料）；鱼蛙火锅底料；麻妙牛油火锅底料；火锅底料；巴牦火锅底料；手工全型火锅底料,0
调味品,复合调味料,餐饮用复合调味料,747,1,餐饮-->复合调味料,火锅底料（餐饮自制）；自制底料；自制火锅底料；自制蘸料；火锅底料（自制）；自制老干妈酱；自制烧椒酱；自制香菇酱,0
调味品,香辛料调味品,按原始调味品细类,731,1,调味品-->香辛料调味品,三奈（其他香辛料调味品）；干花椒；八角粉；青花椒；油泼辣子(三星特辣)；青花椒油；八角；花椒油,0
调味品,酱油,按原始调味品细类,535,1,调味品-->酱油,酿造酱油（黄豆酱油）；黄豆酱油；千禾黄豆酱油；生抽豉油（酿造酱油）；锦珍生抽（酿造酱油）；蒸鱼豉油(酿造酱油)；味极鲜(酿造酱油)；薄盐味极鲜(特级酿造酱油),0
调味品,食醋,按原始调味品细类,466,1,调味品-->食醋,食醋；窝子食醋（酿造食醋）；千禾醋；精酿山西陈醋（酿造食醋）；6°手工老陈醋（食醋）；镇江陈醋；保宁凉拌醋；白醋（酿造食醋）,0
调味品,鸡精,按原始调味品细类,335,1,调味品-->鸡精,鸡精调味料；乐江鸡精(鸡精调味料)；豪吉鸡精调味料；豪吉鸡精；豪吉鸡精（鸡精调味料）；天天旺鸡精调味料；薄盐劲鲜鸡精调味料；名府鸡精(调味料),0
调味品,盐及代盐制品,按原始调味品细类,268,1,调味品-->盐及代盐制品,泡菜盐；深井钙盐（加碘）；天然钙盐(加碘食用盐)；加碘食用盐；绿色食品食用盐；低钠盐(加碘)；雪花盐加碘精制盐；精纯食用盐,0
调味品,酱及酱制品,按原始调味品细类,241,1,调味品-->酱及酱制品,甜面酱；红油郫县豆瓣；晒制甜面酱；红油豆瓣；乐山熟豆瓣(豆瓣酱)；金钩豆瓣酱；曾郫城豆瓣（红油型）；郫县豆瓣,0
调味品,料酒及制品,按原始调味品细类,238,1,调味品-->料酒及制品,千禾糯米料酒；料酒；精酿料酒（调味料酒）；招牌料酒；精酿料酒；料酒（调味料酒）；好帮手料酒；海天古道姜葱料酒(调味料酒),0
调味品,味精,按原始调味品细类,184,1,调味品-->味精,华西味精；99华西味精；经典纯味精；味精；何氏味精；谷氨酸钠(99%味精)；精华纯味精；美味宝纯味精,0
豆及豆制品,非发酵豆制品,按原始豆制品细类,1329,1,豆及豆制品-->非发酵豆制品,豆干；豆皮；豆筋；香香嘴五香味豆干(非发酵豆制品)；泡椒豆干；烟熏干(豆干)；好巴食南溪豆干(麻辣味)；好巴食南溪豆干(烧烤味),0
豆及豆制品,发酵豆制品,按原始豆制品细类,489,1,豆及豆制品-->发酵豆制品,红油腐乳；白味腐乳；桥牌白味腐乳；家乡豆豉；太和豆豉；麻辣豆腐乳；五香豆豉(豆豉)；香辣腐乳,0
豆及豆制品,豆类,按原始豆制品细类,150,1,豆及豆制品-->豆类,豆芽(黄豆芽)；东北绿豆；精品黄豆；绿豆；豆类（绿豆）；黄豆；散绿豆；东北绿豆(精品),0
速冻食品,速冻面米食品,按原始速冻细类,469,1,速冻面米与调制食品-->速冻面米食品,黑芝麻汤圆；白糯米小圆子；三全凌汤圆【黑芝麻】；三全凌汤圆黑芝麻＋红糖；花生汤圆；黑糯黑芝麻汤圆；芝麻汤圆；鲜肉水饺,0
速冻食品,速冻调制食品,按原始速冻细类,227,1,速冻面米与调制食品-->速冻调制食品,低脂鸡胸肉（中式藤椒风味）；牛排(非速冻调理肉制品)；红烧牛肉(速冻食品)；骨肉相连（鸡肉制品）；肥牛卷；任洪里肌（速冻生肉制品）；白煮千叶毛肚(速冻食品)；肖姐鸡排(藤椒鸡排)(速冻食品),0
酒类,白酒,按原始酒类细类,6889,1,酒类-->白酒,散装白酒；43号散装白酒；32#散装白酒；散装五福坊酒；白酒（原酒）；高粱酒；红高粱酒；白酒（原酒）（浓香型）,0
酒类,其他酒类,按原始酒类细类,586,1,酒类-->其他酒类,3号散装调香白酒(配制酒)；醪糟；梅子酒(露酒)；桑葚酒(露酒)；土窖酒（配制酒）；梅乚青梅酒(配制酒)；秋葵酒(其他蒸馏酒)；醪糟(米酒、甜酒酿),0
酒类,啤酒,按原始酒类细类,196,1,酒类-->啤酒,礼泡啤酒；佛手柑青稞小麦(啤酒)；德式小麦(啤酒)；重慶啤酒；虎堡全麦精酿啤酒(扎啤)；雪花啤酒(清爽)；雪花啤酒；金威啤酒纯爽,0
酒类,葡萄酒及果酒,按原始酒类细类,183,1,酒类-->葡萄酒及果酒,梅子酒；冰青青梅果酒；青梅酒；曼斯伯纳达西拉红葡萄酒；猕猴桃酒；苹果酒；梅乚青梅酒(180版)；盛3藏解百纳干红葡萄酒,0
酒类,黄酒,按原始酒类细类,50,1,酒类-->黄酒,黄酒；川西香巴红红糯酒(黄酒)；陈年五年绍兴花雕酒；特制料酒；西塘手工老酒五年陈；上海老酒；清爽谢村黄酒；田缘封缸原浆甜黄酒,0
食用油、油脂及其制品,食用油脂,植物油脂,3746,1,油脂及其制品-->植物油脂,纯菜籽油；菜籽油（小榨特香）；纯香菜籽油；纯正菜籽油（分装）；小榨炒香菜籽油；食用植物调和油(芝麻调和油)；食用植物调和油；外婆乡小榨菜籽油,0
食用油、油脂及其制品,食用植物油,餐饮用油,379,1,餐饮-->餐饮用油,煎炸过程用油；煎炸油；煎炸用油；炸油条用油；炸鸡排油(煎炸过程用油)；煎炸过程油(自制)；煎炸过程油；煎炸过程用油(大豆油),0
食用油、油脂及其制品,食用油脂,动物油脂,43,1,油脂及其制品-->动物油脂,食用猪油；食用牛油；食用猪油(云腿专用)(清香型)；精制食用猪油(调制型)；大龙川火锅牛油；火锅牛油；老火锅牛油；精炼牛油,0
食用油、油脂及其制品,食用油脂,食用油脂制品,5,1,油脂及其制品-->食用油脂制品,黄油(淡味)；安佳黄油；起酥油；安仕顿黄油；港式大黄油,0
食糖,白糖,按原始食糖细类,176,1,食糖-->白糖,白砂糖；黄焖料单份(白砂糖)；白砂糖(分装)；优级白砂糖；白砂糖（分装）；蓉糖白砂糖；耿马三山白砂糖；绵白糖(分装),0
食糖,红糖,按原始食糖细类,171,1,食糖-->红糖,红糖；红糖馒头(自制)；红糖馒头；纯正红糖；冰红糖；红糖（片）；米易红糖；_x000b_红糖,0
食糖,冰糖,按原始食糖细类,92,1,食糖-->冰糖,土冰糖；冰糖；单晶体冰糖（分装）；杰奥多晶体冰糖；大块冰糖；单晶冰糖；单晶冰糖（单晶体冰糖）；单晶冰糖（分装）,0
食糖,其他食糖,按原始食糖细类,4,1,食糖-->其他食糖,纯净方糖；元宝糖（冰片糖）；金黄冰片糖；枣胶黑糖,0
餐饮相关,餐饮具/食品接触类,餐饮具,674,1,餐饮-->餐饮具,碗（复用餐饮具）；碟（复用餐饮具）；筷子（复用餐饮具）；酒杯（复用餐饮具）；汤碗（复用餐饮具）；碟(复用餐饮具)；碗(复用餐饮具)；茶杯（复用餐饮具）,0
餐饮食品,餐饮主食,米面熟制品,5110,1,餐饮-->米面及其制品,红糖馒头；油条；玉米粑（发酵面制品）；馒头；米线(自制)；油条(自制)；馒头(自制)；自制油条,0
餐饮食品,其他餐饮环节产品,其他餐饮食品,567,1,餐饮-->其他餐饮环节产品,豆花(自制)；自制豆花；豆皮(餐饮自制)；油炸花生米(餐饮自制)；油炸花生米；卤花生；五香味花生；炒小花生,567
餐饮食品,水产品,其他餐饮食品,48,1,餐饮-->水产品,三文鱼刺身；三文鱼片；金枪鱼(生食动物性水产品)；刺身三文鱼；生食三文鱼片；北极贝；三文鱼；黄鳝,48
饮料,包装饮用水,按原始饮料细类,1257,1,饮料-->包装饮用水,云弦大酒店饮用天然泉水；蔺郎洞饮用纯净水；白岩沙山泉饮用天然泉水；净然山泉饮用天然泉水；饮用天然泉水；碧源山泉包装饮用水；白龙池包装饮用水；芦高山(优质天然饮用水),0
饮料,餐饮现制饮品,餐饮饮品,742,1,餐饮-->饮品,枸杞大枣酒；枸杞酒；拐枣酒；杨梅酒；壮阳酒；美容酒；除湿酒；养生酒,0
饮料,蛋白饮料,按原始饮料细类,343,1,饮料-->蛋白饮料,花生核桃植物蛋白饮料；低糖燕麦牛乳(复合蛋白饮品)；乳酸菌饮品(原味)；养生核桃(复合蛋白饮品)(无糖型)；椰柔生榨椰汁(植物蛋白饮料)；索菲亚雪泥瓶(乳酸菌口味雪泥)；椰汁植物蛋白饮料；果肉椰子汁(椰汁风味饮料),0
饮料,果蔬汁类及其饮料,按原始饮料细类,188,1,饮料-->果蔬汁类及其饮料,柠檬原汁(冷冻汁)；可仕可NFC鲜冷橙汁；柠檬原汁；蜀绿川红刺梨汁；葡口果粒百香果汁饮料；苹果汁饮料；GOOO够真炖桃；芒果汁饮料,0
饮料,茶类饮料,按原始饮料细类,169,1,饮料-->茶类饮料,茉莉乌龙茶饮料（无糖）；茶兀果味茶饮料柚子绿茶；统一绿茶；喜茶暴柠茶·清暴柠柠檬绿妍果汁茶饮料；乳茶(红茶味)(配制型含乳饮品)；康师傅冰红茶(柠檬口味茶饮品)；康师傅青梅绿茶(果味茶饮品)；茶π果味茶饮料青提乌龙茶,0
饮料,风味饮料,按原始饮料细类,155,1,饮料-->风味饮料,晴王葡萄味苏打水饮品(风味饮料)；红牛®维生素风味饮料；珍珠奶茶风味饮料；芒果果味饮料；椰果粒百香果味饮料；娃哈哈格瓦斯麦芽汁发酵饮品；果肉橙汁果味饮料；原味果奶(风味饮品),0
饮料,碳酸饮料,按原始饮料细类,123,1,饮料-->碳酸饮料,橙汁汽水；荔枝果味饮料[汽水]；清爽柠檬味汽水；蓝都菠萝啤味碳酸饮料；雪碧清爽柠檬味汽水；[芬达]橙味汽水；「芬达」橙味汽水；荔枝果味饮料【汽水】,0
饮料,固体饮料,按原始饮料细类,95,1,饮料-->固体饮料,牛奶花生复合蛋白饮品(含花生颗粒)；维他型豆奶粉(调和豆奶粉)；雪花冰风味固体饮料(牛奶雪花冰粉)；鱼鳞胶原蛋白肽(固体饮料)；牦牛骨活性多肽[固体饮料]；海盐风味咖啡(咖啡固体饮料)；双皮奶风味固体饮料；冰粉粉(原味),0
饮料,特殊用途饮料,按原始饮料细类,39,1,饮料-->特殊用途饮料,无加蔗糖氨基酸饮品(其他类饮料)(特殊用途饮料类)；脉动维生素饮料(桃子口味)；飞马能量维生素运动饮料；海之言运动饮料.休闲型(柠檬味)；氨基酸维生素功能饮料；维生素牛磺酸饮料；中国金罐；牛磺酸强化运动营养饮品(原味经典),0
饮料,植物饮料,按原始饮料细类,34,1,饮料-->植物饮料,参茗之缘植物秘饮(饮料)；加多宝凉茶；王老吉凉茶植物饮料；加多宝凉茶植物饮料；蓝剑薄荷水；茉莉花茶；N12陈皮杭白菊植物饮品；N12陈皮白茶植物饮料,0
饮料,咖啡饮料,按原始饮料细类,6,1,饮料-->咖啡饮料,丝滑拿铁(咖啡饮料)；贝纳颂咖啡拿铁(咖啡饮料)；咖世家燕麦摩卡咖啡饮料；雅哈冰咖啡咖啡饮料；拿铁咖啡饮料；贝纳颂咖啡拿铁咖啡饮料,0
饮料,其他饮料,按原始饮料细类,2,1,饮料-->其他饮料,天宝春(饮料)；耳花蜜大枣饮品(其他饮料),0
