原始产品分类,分类规则ID,分类触发词,新一级类,新二级类,新三级类,分类依据,是否建议人工复核,记录数,示例产品名称
焙烤食品-->面包,CAT_BAKERY,焙烤食品,焙烤食品,面包,按原始焙烤细类,原始分类指向焙烤食品。,否,251,面包糠(非即食类)(其他谷物粉类制成品)；岩烧夹心吐司面包；肉松夹心吐司面包；老酸奶吐司面包（酸奶味）；奇亚籽全麦奈撕黄油面包；丹麦海盐芝士面包；岩烧吐司；无添加蔗糖全麦吐司面包
乳及乳制品-->发酵乳,CAT_DAIRY,乳及乳制品,乳及乳制品,发酵乳,按原始乳品细类,原始分类指向乳及乳制品。,否,242,0蔗糖风味发酵乳（原味）；白桃风味酸乳；芝士海盐风味酸乳；原味酸牛奶；老四川酸奶；嚼酸奶（燕麦百香果味）；纯甄风味酸奶（经典原味）；巴氏杀菌热处理风味酸奶(经典原味)
调味品-->酱及酱制品,CAT_SEASONING,调味品,调味品,酱及酱制品,按原始调味品细类,原始分类指向调味品。,否,241,甜面酱；红油郫县豆瓣；晒制甜面酱；红油豆瓣；乐山熟豆瓣(豆瓣酱)；金钩豆瓣酱；曾郫城豆瓣（红油型）；郫县豆瓣
调味品-->料酒及制品,CAT_SEASONING,调味品,调味品,料酒及制品,按原始调味品细类,原始分类指向调味品。,否,238,千禾糯米料酒；料酒；精酿料酒（调味料酒）；招牌料酒；精酿料酒；料酒（调味料酒）；好帮手料酒；海天古道姜葱料酒(调味料酒)
肉及肉制品-->鸭肉,CAT_MEAT,肉及肉制品,肉及肉制品,鸭肉,按原始肉类细类,原始分类指向肉及肉制品。,否,234,鸭肉；鸭子；花边鸭（公）；花边鸭；大白鸭；老鸭子；嫩鸭子；黄皮鸭
水果及其制品-->橘,CAT_FRUIT,橘,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：橘。,否,232,爱媛（橘子）；沙糖桔；砂糖橘；蜜橘；不知火桔；砂糖桔；橘子；金秋砂糖橘
速冻面米与调制食品-->速冻调制食品,CAT_FROZEN,速冻面米与调制食品,速冻食品,速冻调制食品,按原始速冻细类,原始分类指向速冻面米与调制食品。,否,227,低脂鸡胸肉（中式藤椒风味）；牛排(非速冻调理肉制品)；红烧牛肉(速冻食品)；骨肉相连（鸡肉制品）；肥牛卷；任洪里肌（速冻生肉制品）；白煮千叶毛肚(速冻食品)；肖姐鸡排(藤椒鸡排)(速冻食品)
蔬菜及其制品-->胡萝卜,CAT_VEG,萝卜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：萝卜。,否,226,胡萝卜；本地胡萝卜；精品胡萝卜；大胡萝卜；广胡萝卜；广红（胡萝卜）；广红胡萝卜；红萝卜（胡萝卜）
蔬菜及其制品-->葱,CAT_VEG,葱,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：葱。,否,212,大葱；小葱；火葱；葱；葱(大葱)；葱（小葱）；葱（大白葱）；葱（大葱）
餐饮-->蔬菜,CAT_CATERING_VEG,酱腌菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：酱腌菜。,否,211,泡萝卜（酱腌菜）；泡豇豆(酱腌菜)；泡莲白（酱腌菜）；酱腌菜（大头菜）；泡儿菜（酱腌菜）；自制泡萝卜（酱腌菜）；泡萝卜(酱腌菜)；腌萝卜干（酱腌菜）
食品添加剂-->食品添加剂,CAT_REVIEW_OTHER,食品添加剂,其他/待复核,食品添加剂,食品添加剂,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,197,食品添加剂磷酸氢二钾；食品添加剂磷酸；食品添加剂磷酸二氢钾；食品添加剂天柱牌山梨酸钾；食品添加剂葡萄糖酸-σ-内酯；食品添加剂焦糖色；食品添加剂山梨酸钾；食品添加剂葡萄糖-σ-内酯
酒类-->啤酒,CAT_ALCOHOL,酒类,酒类,啤酒,按原始酒类细类,原始分类指向酒类。,否,196,礼泡啤酒；佛手柑青稞小麦(啤酒)；德式小麦(啤酒)；重慶啤酒；虎堡全麦精酿啤酒(扎啤)；雪花啤酒(清爽)；雪花啤酒；金威啤酒纯爽
方便食品-->其他方便食品,CAT_CONVENIENCE,方便食品,方便食品,其他方便食品,按原始方便食品细类,原始分类指向方便食品。,否,195,原味豆浆粉；燕麦片；纯藕粉；桂花藕粉；手磨纯香黑芝麻糊(调和芝麻糊)；米小福卤肉(方便菜肴)；有机黑五宝粉(方便食品)；快餐玉米粉(Ⅱ类)
饮料-->果蔬汁类及其饮料,CAT_BEVERAGE,饮料,饮料,果蔬汁类及其饮料,按原始饮料细类,原始分类指向饮料。,否,188,柠檬原汁(冷冻汁)；可仕可NFC鲜冷橙汁；柠檬原汁；蜀绿川红刺梨汁；葡口果粒百香果汁饮料；苹果汁饮料；GOOO够真炖桃；芒果汁饮料
水果及其制品-->猕猴桃,CAT_FRUIT,桃,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：桃。,否,187,猕猴桃；即食翠香猕猴桃；绿心猕猴桃；黄心猕猴桃；国产阳光金果猕猴桃；国产猕猴桃；海沃特猕猴桃；红心猕猴桃
水果及其制品-->水果干,CAT_FRUIT,加工水果词,水果及水果制品,水果制品,蜜饯/果干/加工水果,结合原始产品分类与产品名称进行水果细分；触发词：加工水果词。,否,184,香酥脆枣；泸三桂桂圆肉干；知味轩新疆葡萄干；芒果脆乐(水果干制品)；柠檬干片(水果制品)；葡萄干；酸甜无核葡萄干；宁夏中宁枸杞(特级)
调味品-->味精,CAT_SEASONING,调味品,调味品,味精,按原始调味品细类,原始分类指向调味品。,否,184,华西味精；99华西味精；经典纯味精；味精；何氏味精；谷氨酸钠(99%味精)；精华纯味精；美味宝纯味精
酒类-->葡萄酒及果酒,CAT_ALCOHOL,酒类,酒类,葡萄酒及果酒,按原始酒类细类,原始分类指向酒类。,否,183,梅子酒；冰青青梅果酒；青梅酒；曼斯伯纳达西拉红葡萄酒；猕猴桃酒；苹果酒；梅乚青梅酒(180版)；盛3藏解百纳干红葡萄酒
食糖-->白糖,CAT_SUGAR,食糖,食糖,白糖,按原始食糖细类,原始分类指向食糖。,否,176,白砂糖；黄焖料单份(白砂糖)；白砂糖(分装)；优级白砂糖；白砂糖（分装）；蓉糖白砂糖；耿马三山白砂糖；绵白糖(分装)
水果及其制品-->荔枝,CAT_FRUIT,荔枝,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：荔枝。,否,171,白糖罂荔枝；妃子笑荔枝；白糖樱荔枝；荔枝；火山妃子笑荔；糯米荔枝；糯米糍荔枝；妃子笑（荔枝）
食糖-->红糖,CAT_SUGAR,食糖,食糖,红糖,按原始食糖细类,原始分类指向食糖。,否,171,红糖；红糖馒头(自制)；红糖馒头；纯正红糖；冰红糖；红糖（片）；米易红糖；_x000b_红糖
饮料-->茶类饮料,CAT_BEVERAGE,饮料,饮料,茶类饮料,按原始饮料细类,原始分类指向饮料。,否,169,茉莉乌龙茶饮料（无糖）；茶兀果味茶饮料柚子绿茶；统一绿茶；喜茶暴柠茶·清暴柠柠檬绿妍果汁茶饮料；乳茶(红茶味)(配制型含乳饮品)；康师傅冰红茶(柠檬口味茶饮品)；康师傅青梅绿茶(果味茶饮品)；茶π果味茶饮料青提乌龙茶
蔬菜及其制品-->鲜食用菌,CAT_VEG,食用菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：食用菌。,否,168,香菇；杏鲍菇；鲜香菇；平菇；金钱菇；鲍鱼小花菇；茶树菇；花菇
水果及其制品-->橙,CAT_FRUIT,橙,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：橙。,否,161,冰糖橙；实建褚橙；褚花斑橙；赣南脐橙；纽荷尔橙；雷波脐橙；奉节脐橙；元红橙
保健食品-->其他类,CAT_HEALTH,保健食品,保健食品,其他类,按原始剂型,原始分类指向保健食品。,否,157,精制鱼油(Omega-3脂肪酸)；多烯鱼油(OMEGA-3脂肪酸)；红牛维生素功能饮料；红牛®维生素牛磺酸饮料；东鹏特饮维生素功能饮料；东鹏特饮；乐虎®氨基酸维生素功能饮料；鲁中宝胶牌阿胶核桃黑芝麻糕
肉及肉制品-->其他肉制品,CAT_MEAT,肉及肉制品,肉及肉制品,其他肉制品,按原始肉类细类,原始分类指向肉及肉制品。,否,157,毛肚；精品毛肚；秒香毛肚；毛肚(预制调理畜禽制品)；嫩脆毛肚；爽脆鸭肠；脆脆毛肚【调理肉制品（非速冻）】；腌鸡肉
饮料-->风味饮料,CAT_BEVERAGE,饮料,饮料,风味饮料,按原始饮料细类,原始分类指向饮料。,否,155,晴王葡萄味苏打水饮品(风味饮料)；红牛®维生素风味饮料；珍珠奶茶风味饮料；芒果果味饮料；椰果粒百香果味饮料；娃哈哈格瓦斯麦芽汁发酵饮品；果肉橙汁果味饮料；原味果奶(风味饮品)
餐饮-->蔬菜,CAT_CATERING_VEG,萝卜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：萝卜。,否,154,泡萝卜；自制泡萝卜；泡萝卜丝；泡萝卜（自制）；爽口泡萝卜；泡萝卜(自制)；泡萝卜皮；泡白萝卜(餐饮自制)
水果及其制品-->桃,CAT_FRUIT,桃,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：桃。,否,151,油桃；水蜜桃；毛桃；桃；桃子；白花桃；黄肉油桃；脆桃
豆及豆制品-->豆类,CAT_BEAN,豆及豆制品,豆及豆制品,豆类,按原始豆制品细类,原始分类指向豆及豆制品。,否,150,豆芽(黄豆芽)；东北绿豆；精品黄豆；绿豆；豆类（绿豆）；黄豆；散绿豆；东北绿豆(精品)
蔬菜及其制品-->甘蓝,CAT_VEG,甘蓝,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：甘蓝。,否,149,大头菜；结球甘蓝；莲花白；包菜；卷心包菜（结球甘蓝）；莲花白（结球甘蓝）；莲白；鸡心莲白
蔬菜及其制品-->山药,CAT_VEG,山药,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：山药。,否,144,山药；麻山药；铁杆山药；干山药；铁棍山药；双胞山药；散称淮山药；面山药
水产及其制品-->水产制品,CAT_AQUATIC,水产及其制品,水产及水产制品,水产制品,按原始水产细类,原始分类指向水产及其制品。,否,143,乌鱼；紫菜；鲜香味凉拌海带丝；凉拌海带丝（鲜香味）；麻辣海带丝(调味海藻制品)；香辣海带丝(熟制水产品)；田趣暖心紫菜；永辉优选馋大狮原味鱿鱼丝
肉及肉制品-->羊肉,CAT_MEAT,肉及肉制品,肉及肉制品,羊肉,按原始肉类细类,原始分类指向肉及肉制品。,否,135,羊后腿肉；羊肉；羊腿肉；羊肚；羊前腿肉；冷鲜羔羊前腿肉；羔羊后腿包（羊肉）；羔羊后腿肉包A
淀粉及淀粉制品-->淀粉,CAT_STARCH,淀粉及淀粉制品,淀粉及淀粉制品,淀粉,按原始淀粉细类,原始分类指向淀粉及淀粉制品。,否,134,嫩肉专用淀粉；雪花生粉（食用淀粉分装）；水磨淀粉（淀粉）（分装）；粗粮豌豆淀粉；红薯淀粉；澄面(食用小麦淀粉分装)；纯红薯淀粉；木薯淀粉
蔬菜及其制品-->萝卜,CAT_VEG,萝卜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：萝卜。,否,126,萝卜；白萝卜；萝卜(白萝卜)；红萝卜；长白萝卜；精品长萝卜；广红萝卜；象牙萝卜
水产及其制品-->干制水产品,CAT_AQUATIC,水产及其制品,水产及水产制品,干制水产品,按原始水产细类,原始分类指向水产及其制品。,否,124,风干鲤鱼(盐渍鱼)；麻辣鳅鱼干；干海带；干海带丝；干海带（藻类干制品）；长海带；海十三紫菜；干海带头
饮料-->碳酸饮料,CAT_BEVERAGE,饮料,饮料,碳酸饮料,按原始饮料细类,原始分类指向饮料。,否,123,橙汁汽水；荔枝果味饮料[汽水]；清爽柠檬味汽水；蓝都菠萝啤味碳酸饮料；雪碧清爽柠檬味汽水；[芬达]橙味汽水；「芬达」橙味汽水；荔枝果味饮料【汽水】
乳及乳制品-->乳粉及调制乳粉,CAT_DAIRY,乳及乳制品,乳及乳制品,乳粉及调制乳粉,按原始乳品细类,原始分类指向乳及乳制品。,否,121,中老年调制乳粉；人之初®中老年多维高钙营养奶粉；蒙牛®中老年多维高钙奶粉；全脂奶粉；全家高钙营养奶粉(调制乳粉)；_x000b_中老年高钙多维奶粉；_x000b_学生营养奶粉；_x000b_全家高钙营养奶粉(调制乳粉)
保健食品-->粉剂,CAT_HEALTH,保健食品,保健食品,粉剂,按原始剂型,原始分类指向保健食品。,否,120,卓悦蛋白粉；蛋白粉；金奥力牌蛋白粉；艾申特牌维生素C维生素E蛋白粉；柏维力®牛磺酸蛋白粉；安琪纽特®酿酒酵母粉蛋白粉；善尔®益生菌粉；養生堂®蛋白粉
肉及肉制品-->鸡副产品,CAT_MEAT,肉及肉制品,肉及肉制品,鸡副产品,按原始肉类细类,原始分类指向肉及肉制品。,否,120,鸡中翅；冻鸡中翅；鸡中翅(鸡肉)；鸡胗；鸡肉（冷冻中翅）；鸡肝；鸡心；鸡脚
茶叶及相关制品-->代用茶,CAT_TEA,茶叶及相关制品,茶叶及相关制品,代用茶,按原始茶叶细类,原始分类指向茶叶及相关制品。,否,119,全株茶（黑苦荞茶）；花茶；特级花茶；苦荞香茶；苦荞茶；圆米苦荞茶；贡菊(代用茶)；高寒黑苦荞茶(全胚态)
方便食品-->方便面,CAT_CONVENIENCE,方便食品,方便食品,方便面,按原始方便食品细类,原始分类指向方便食品。,否,116,统一红烧牛肉面；筠连水粉魏四芗鲜(酸辣味)(方便粉丝)；富凯螺蛳粉；四川绵阳米粉(方便米粉)；珍珠酸辣粉；酸辣粉；昌凌手工酸辣粉；光友全薯粉丝(酸辣粉)
水果及其制品-->枣,CAT_FRUIT,枣,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：枣。,否,113,冬枣；青枣；牛奶青枣；圆枣；枣（青枣）；新疆大红枣；大荔冬枣；牛奶冬枣
水果及其制品-->西瓜,CAT_FRUIT,西瓜,水果及水果制品,鲜食水果,瓜果类,结合原始产品分类与产品名称进行水果细分；触发词：西瓜。,否,109,西瓜；口口脆西瓜；麒麟西瓜；玉脆瓜；小西瓜；玉脆西瓜；甘美西瓜；口口脆(西瓜)
罐头食品-->肉类罐头,CAT_REVIEW_OTHER,罐头食品,其他/待复核,罐头食品,肉类罐头,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,109,午餐肉罐头；卤汁鸡腿(罐头食品)；优选云腿午餐肉罐头；清蒸猪肉罐头；庄园黑猪午餐肉罐头；火锅午餐肉罐头；烘肘罐头；豆豉排骨(畜禽肉类罐头)
食品添加剂-->食品用香精,CAT_REVIEW_OTHER,食品添加剂,其他/待复核,食品添加剂,食品用香精,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,106,食品用香精羊肉精粉；食品添加剂乙基麦芽酚香精；食品添加剂A031芝麻味香精；肉类增香型香精(拌合型粉末)；肉香型乙基增香剂(拌合型粉末)；食品用香精柠檬香精5508；食品用香精专用粉2#；食品用香精鸡骨浸膏C（林野专用）
冷冻饮品-->雪糕,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,雪糕,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,105,18新脆筒香草口味雪糕；玉米棒口味雪糕；三色雪糕；原味奶(牛奶味雪糕)；厚乳(牛奶口味)雪糕；牛奶花生糯米(组合型雪糕)；榴莲口味雪糕；每日COFFE咖啡口味雪糕
餐饮-->蔬菜,CAT_CATERING_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：原始蔬菜分类。,是,105,自制泡莲花白；泡海椒；泡莲花白(餐饮自制)；泡莲白；泡莲白(自制)；泡儿菜；泡莲花白；自制泡莲白
水果及其制品-->香蕉,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,99,苹果蕉；香蕉（苹果蕉）；苹果香蕉；苹果蕉（香蕉）；苹果蕉(香蕉)
保健食品-->口服液,CAT_HEALTH,保健食品,保健食品,口服液,按原始剂型,原始分类指向保健食品。,否,96,凯镛®悦怡口服液；国林牌钙铁锌口服液；采森牌葡萄糖酸锌口服液；力克保健液；博诚®钙锌口服液(甜橙味)；仁和匠心牌钙铁锌口服液(水蜜桃味)；海王金樽牌牡蛎大豆肽肉碱口服液；黄金牌灵芝硒口服液
饮料-->固体饮料,CAT_BEVERAGE,饮料,饮料,固体饮料,按原始饮料细类,原始分类指向饮料。,否,95,牛奶花生复合蛋白饮品(含花生颗粒)；维他型豆奶粉(调和豆奶粉)；雪花冰风味固体饮料(牛奶雪花冰粉)；鱼鳞胶原蛋白肽(固体饮料)；牦牛骨活性多肽[固体饮料]；海盐风味咖啡(咖啡固体饮料)；双皮奶风味固体饮料；冰粉粉(原味)
罐头食品-->水果罐头,CAT_REVIEW_OTHER,罐头食品,其他/待复核,罐头食品,水果罐头,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,94,红西柚果粒罐头；橘子罐头；糖水桃罐头；菊花冰糖雪梨罐头；糖水椰果罐头；馋大狮冰糖梨罐头；黄桃罐头；什锦果捞(糖水型什锦水果罐头)
食糖-->冰糖,CAT_SUGAR,食糖,食糖,冰糖,按原始食糖细类,原始分类指向食糖。,否,92,土冰糖；冰糖；单晶体冰糖（分装）；杰奥多晶体冰糖；大块冰糖；单晶冰糖；单晶冰糖（单晶体冰糖）；单晶冰糖（分装）
水果及其制品-->火龙果,CAT_FRUIT,火龙果,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：火龙果。,否,91,火龙果；白心火龙果；红心火龙果；大火龙果；白火龙果；越南白心火龙果；火龙果(白肉)；火龙果中果
特殊膳食食品-->特殊医学用途婴儿配方食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,特殊医学用途婴儿配方食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,84,肽敏舒特殊医学用途婴儿乳蛋白深度水解配方食品；优博瑞安特殊医学用途婴儿无乳糖配方食品；优博安能特殊医学用途早产/低出生体重婴儿配方食品；早启能恩®特殊医学用途早产/低出生体重婴儿配方食品；纽康特®特殊医学用途婴儿氨基酸配方食品；雀巢恩敏舒®特殊医学用途婴儿氨基酸配方食品；蔼儿舒®ALFARE®特殊医学用途婴儿乳蛋白深度水解配方食品；爱思诺赋儿嘉®特殊医学用途婴儿无乳糖配方食品
水果及其制品-->草莓,CAT_FRUIT,草莓,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：草莓。,否,77,巧克力草莓中果；草莓；奶油草莓；巧克力草莓；一级巧克力草莓；巧克力味草莓；红宝玉草莓；巧克力草莓大果
蔬菜及其制品-->豌豆,CAT_VEG,豌豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豌豆。,否,77,食荚豌豆；荷兰豆；精品豌豆；荷兰豆(食荚豌豆)；食荚豌豆（菜豌豆）；食夹豌豆（豌豆片）；食荚豌豆（豌豆荚）；豌豆荚
水果及其制品-->柠檬,CAT_FRUIT,柠檬,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：柠檬。,否,72,柠檬；安岳柠檬；黄柠檬；大柠檬；国产柠檬；安岳黄柠檬；精品柠檬
糖果和巧克力、可可及其制品-->巧克力及巧克力制品,CAT_CANDY,糖果和巧克力、可可及其制品,糖果巧克力及果冻,巧克力及巧克力制品,按原始糖果细类,原始分类指向糖果、巧克力、可可或果冻。,否,70,麦丽素；巧克力（代可可脂）饰花；喔喔松露形巧克力（代可可脂巧克力）；威化牛奶巧克力；威化黑巧克力；金元宝代可可脂巧克力；青梅酒味软心代可可脂巧克力制品；美鹿花生夹心巧克力
水果及其制品-->杨梅,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,杨梅,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,68,杨梅；散装杨梅；高原杨梅；特级杨梅；燕山杨梅
粮食及其制品-->其他粮食及其制品,CAT_GRAIN_RICE_PRODUCT,米制品,粮食及粮食制品,米制品,大米加工制品,产品名称/原始分类指向大米加工制品。,否,67,果蔬胡萝卜配方玉米粉；营养玉米粉；玉米粉；糯米粉；米粉；玉米粉(谷物碾磨加工品)；生玉米粉；快餐杂粮玉米粉
食品添加剂-->复配食品添加剂,CAT_REVIEW_OTHER,食品添加剂,其他/待复核,食品添加剂,复配食品添加剂,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,63,食品添加剂复配消泡剂；复配食品添加剂二水氯化钙；复配膨松剂（双效泡打粉）；食品添加剂油条复配膨松剂无铝害（未添加铝）；吉士粉复配着色增稠剂；复配食品添加剂复配水分保持剂；食品添加剂复配酒用酶制剂；食品添加剂复配酶制剂（葡糖淀粉酶+α-淀粉酶）
蔬菜及其制品-->食用菌制品,CAT_VEG,干制,蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：干制。,否,61,干制食用菌(鹿茸菇)；干制食用菌(千佛菌)；干香菇(干制食用菌)；干木耳(干制食用菌)；细木耳（干制食用菌）；木耳（干制食用菌）；干木耳（干制食用菌）；干制银耳
保健食品-->茶剂,CAT_HEALTH,保健食品,保健食品,茶剂,按原始剂型,原始分类指向保健食品。,否,59,碧生源牌常菁茶；凤鑫龙源牌快便茶；润通茶；碧生源牌常润茶；仙牌灵芝茶；津玉袋泡茶；碧生源牌纤纤茶；盛坤牌麻仁当归茶
蔬菜及其制品-->芸豆,CAT_VEG,四季豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：四季豆。,否,58,菜豆（四季豆）；菜豆（白四季豆）；本地四季豆；四季豆；四季豆（菜豆）；乌四季豆；肉四季豆；扁四季豆
肉及肉制品-->熏烧烤肉制品,CAT_MEAT,肉及肉制品,肉及肉制品,熏烧烤肉制品,按原始肉类细类,原始分类指向肉及肉制品。,否,56,盐焗烤腿；香烤小鸡腿(鸡翅根)(蜜汁味)；香烤鸡翅根(奥尔良味)(熏烧烤肉制品)；烤鸡腿；烤脖（黑鸭味）；烤脖（香辣味）；烟熏猪头肉；烟熏猪腿肉
保健食品-->糖果类,CAT_HEALTH,保健食品,保健食品,糖果类,按原始剂型,原始分类指向保健食品。,否,52,元亨利牌维生素A维生素D凝胶糖果；川贝枇杷糖；含笑堂牌金银花罗汉果胖大海糖；鑫玺牌胖大海糖；美莱健牌金银花枇杷糖；鑫玺牌川贝枇杷糖；鑫玺牌罗汉果糖；潘高寿川贝枇杷糖
酒类-->黄酒,CAT_ALCOHOL,酒类,酒类,黄酒,按原始酒类细类,原始分类指向酒类。,否,50,黄酒；川西香巴红红糯酒(黄酒)；陈年五年绍兴花雕酒；特制料酒；西塘手工老酒五年陈；上海老酒；清爽谢村黄酒；田缘封缸原浆甜黄酒
餐饮-->水产品,CAT_CATERING_OTHER,水产品,餐饮食品,水产品,其他餐饮食品,原始分类为餐饮；产品名称未提供足够证据脱离餐饮场景。,是,48,三文鱼刺身；三文鱼片；金枪鱼(生食动物性水产品)；刺身三文鱼；生食三文鱼片；北极贝；三文鱼；黄鳝
薯类及膨化食品-->薯类食品,CAT_PUFFED,薯类及膨化食品,薯类及膨化食品,薯类食品,按原始薯类/膨化细类,原始分类指向薯类及膨化食品。,否,47,苕丝糖（薯类食品）；苕絲糖（薯类食品）；魔芋素肚片；魔芋精粉；魔芋粉；芋滋源妖肉(魔芋食材)；魔芋爽麻辣素毛肚；雪魔芋(薯类食品)
肉及肉制品-->其他畜肉,CAT_MEAT,肉及肉制品,肉及肉制品,其他畜肉,按原始肉类细类,原始分类指向肉及肉制品。,否,45,冰鲜兔；兔肉；湘佳鲜整兔；兔子肉；鲜兔肉（其他畜肉）；鲜兔肉；鲜兔；保鲜兔
肉及肉制品-->鸭副产品,CAT_MEAT,肉及肉制品,肉及肉制品,鸭副产品,按原始肉类细类,原始分类指向肉及肉制品。,否,44,鸭胗；鸭肝；鸭肫；中润鲜鸭肫；鲜鸭胗；鸭郡肝；鸭肫（S）；鸭翅
冷冻饮品-->冰淇淋,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,冰淇淋,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,43,榴莲味冰淇淋；醇真原味冰淇淋；牛乳茶可可风味冰淇淋；巧克力香草口味脆筒冰淇淋；冰淇淋酪乳；梦龙松露巧克力口味冰淇淋；梦龙车厘子樱花口味冰淇淋；冰爽快线(菠萝+蜜瓜)
油脂及其制品-->动物油脂,CAT_OIL,油脂及其制品,食用油、油脂及其制品,食用油脂,动物油脂,原始分类指向食用油脂。,否,43,食用猪油；食用牛油；食用猪油(云腿专用)(清香型)；精制食用猪油(调制型)；大龙川火锅牛油；火锅牛油；老火锅牛油；精炼牛油
冷冻饮品-->冰棍,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,冰棍,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,39,钟薛高柠檬红茶口味棒冰；手工绿豆口味冰棍；冰山雪莲(冰棍)；爆浆菠萝(菠萝口味冰棍)；杨梅冰球(杨梅味甜味冰)；绿色之恋糖纳红豆+绿豆味棒冰；萌檬多柠檬口味棒冰；经典可乐可乐味棒冰
饮料-->特殊用途饮料,CAT_BEVERAGE,饮料,饮料,特殊用途饮料,按原始饮料细类,原始分类指向饮料。,否,39,无加蔗糖氨基酸饮品(其他类饮料)(特殊用途饮料类)；脉动维生素饮料(桃子口味)；飞马能量维生素运动饮料；海之言运动饮料.休闲型(柠檬味)；氨基酸维生素功能饮料；维生素牛磺酸饮料；中国金罐；牛磺酸强化运动营养饮品(原味经典)
水果及其制品-->柚,CAT_FRUIT,柚,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：柚。,否,35,真龙柚；青柚；草绳柚；柚子；红柚；泰国西柚；泰国青柚；泰国白柚
水果及其制品-->樱桃,CAT_FRUIT,桃,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：桃。,否,34,樱桃；大连美早红樱桃；车厘子；黑珍珠樱桃；四川高山黑珍珠樱桃
饮料-->植物饮料,CAT_BEVERAGE,饮料,饮料,植物饮料,按原始饮料细类,原始分类指向饮料。,否,34,参茗之缘植物秘饮(饮料)；加多宝凉茶；王老吉凉茶植物饮料；加多宝凉茶植物饮料；蓝剑薄荷水；茉莉花茶；N12陈皮杭白菊植物饮品；N12陈皮白茶植物饮料
